,SB,DT,DB,ASP,TC,LT,VB,PC,GB,PC_S1,SB_M1,ASP_S1,ASP_S2,ASP_S3
Ho,0.1368267831149927,0.0902461257976299,0.2023742227247032,0.1758241758241758,0.0967741935483871,0.3831775700934579,0.1922290388548057,0.2301438398999374,1.0138888888888888,169.0,10.649182373275451,1060.623546477839,163.81100015344325,41.94974875
CG31211,0.1445900048520136,0.117137648131267,0.1859807801017524,0.1575091575091575,0.1206690561529271,0.1308411214953271,0.1676891615541922,0.1813633520950594,0.0555555555555555,459.25,10.70084380949465,4449.53138610331,1448.6549685123225,67.55330825
CG12213,0.2940320232896652,0.2142206016408386,0.3747880158281515,0.1941391941391941,0.2102747909199522,0.2523364485981308,0.3537832310838446,0.3076923076923077,0.1388888888888889,778.0,9.51964641880312,4686.416657051786,619.3959805207355,82.47273
KLHL18,0.0771470160116448,0.0460346399270738,0.1096664782362916,0.0769230769230769,0.060931899641577,0.0809968847352024,0.0797546012269938,0.1494684177611006,0.0555555555555555,560.25,8.948412239698492,2624.8922911140835,417.5989979145395,46.34622
CG4115,0.0194080543425521,0.0834092980856882,0.0740531373657433,0.0036630036630036,0.008363201911589,0.0747663551401869,0.0531697341513292,0.1751094434021263,1.1527777777777777,204.5,9.3665576447168,858.4227410458346,135.7101727256707,50.43064325
CG5196,0.0926734594856865,0.072926162260711,0.1283210853589598,0.0769230769230769,0.089605734767025,0.0841121495327102,0.1083844580777096,0.1538461538461538,0.1388888888888889,266.75,10.653478748292,2522.89158254327,355.7201766145463,46.51018075
CG5608,0.0422125181950509,0.0218778486782133,0.0695308083663086,0.0439560439560439,0.033452807646356,0.0560747663551401,0.0531697341513292,0.1163227016885553,0.0277777777777777,520.25,9.57146986460511,1970.5338185194569,362.8741388489915,39.07004925
Not10,0.0616205725376031,0.0350957155879671,0.0876201243640474,0.0879120879120879,0.053763440860215,0.0404984423676012,0.0756646216768916,0.0856785490931832,0.0416666666666666,334.75,10.39929458328325,2244.98468054088,391.9233349151753,39.370035
NijC,0.1193595342066957,0.3304466727438468,0.5228942905596382,0.0549450549450549,0.1338112305854241,2.38006230529595,0.32719836400818,1.1688555347091931,9.083333333333334,696.25,8.67003712444162,510.0440207263737,102.33957381219588,58.162606
CG31342,0.0650169820475497,0.0469462169553327,0.0898812888637648,0.0879120879120879,0.054958183990442,0.0809968847352024,0.0715746421267893,0.073170731707317,0.0,411.0,9.53205336366533,7793.63798616644,1274.037359116615,61.34670750000001
CG7966,0.0553129548762736,0.0209662716499544,0.5019785189372526,0.0329670329670329,0.021505376344086,0.2336448598130841,0.5807770961145194,0.2426516572858036,0.0833333333333333,277.0,11.10540647764365,278.364350384567,631.3507935660698,8.6138295
pic,0.146045608927705,0.1066545123062898,0.2097230073487846,0.1538461538461538,0.0884109916367981,0.1651090342679127,0.1840490797546012,0.1788617886178861,0.0694444444444444,215.0,12.2053138211625,11479.4839416431,1763.0589655688225,58.9462465
TBC1D5,0.0800582241630276,0.0610756608933454,0.1113623516110797,0.1098901098901098,0.065710872162485,0.0529595015576324,0.0777096114519427,0.1363352095059412,0.0972222222222222,221.25,10.47527778242215,2477.420989008613,378.7270747642608,47.11387375
CG9799,0.0470645317806889,0.0405651777575205,0.0514414923685698,0.0805860805860805,0.039426523297491,0.0124610591900311,0.0858895705521472,0.0681676047529706,0.0,288.5,9.67822500112703,6371.433230969393,914.420943976788,67.8819655
Nsf2,0.2406598738476467,0.1203281677301732,0.2769926512153759,0.2747252747252747,0.1756272401433691,0.1713395638629283,0.2372188139059304,0.4290181363352095,0.0833333333333333,357.0,8.135586547953466,3415.505474195403,432.7841829236082,48.1427385
trx,0.3178068898592916,0.3691886964448496,0.5240248728094969,0.3333333333333333,0.2676224611708482,0.4236760124610592,0.5112474437627812,0.3577235772357723,0.2777777777777778,255.5,10.54684784600655,3964.892239762127,361.995342203296,6.27993175
red,0.195536147501213,0.1308113035551504,0.1481062747314867,0.2417582417582417,0.0967741935483871,0.1806853582554517,0.1226993865030674,0.0969355847404628,0.7361111111111112,435.5,10.50855051344995,4241.06543779779,821.7833896208499,55.80240725
Hexim,0.0902474526928675,0.0902461257976299,0.1040135669869983,0.0952380952380952,0.05973715651135,0.0623052959501557,0.1206543967280163,0.0800500312695434,0.0416666666666666,227.75,10.477337646549149,2806.3003090008,367.81974205747247,60.039071
Rad17,0.0252304706453178,0.0164083865086599,0.0310910118711136,0.0366300366300366,0.007168458781362,0.0311526479750778,0.0204498977505112,0.0331457160725453,0.0,519.75,8.95753943464138,1309.2319967237534,253.56567949133373,21.169239500000003
kibra,0.5269286754002911,0.5200546946216955,1.4030525720746183,0.2161172161172161,0.4157706093189964,1.2149532710280373,1.4498977505112474,0.707942464040025,0.1944444444444444,281.5,8.974770203549095,1294.1689961845132,547.2000005553984,9.97635275
Rrp6,0.0577389616690926,0.0405651777575205,0.0650084793668739,0.0732600732600732,0.04778972520908,0.043613707165109,0.1042944785276073,0.0875547217010631,0.0555555555555555,333.25,10.67500628760725,5018.17744615617,788.666372989259,43.1002285
CG33332,0.0873362445414847,0.0455788514129443,0.0966647823629169,0.0842490842490842,0.060931899641577,0.0623052959501557,0.1063394683026584,0.1219512195121951,0.0138888888888888,238.5,10.0635955907019,1914.3968476772068,323.46958596616025,53.44585425
CG6654,0.0325084910237748,0.0309936189608021,0.0553985302430751,0.0402930402930402,0.02389486260454,0.0373831775700934,0.0593047034764826,0.0494058786741713,0.0555555555555555,167.25,9.54094886040053,859.0281113480404,168.59268844508924,34.621615
Cp190,0.1591460456089277,0.129443938012762,0.2272470322215941,0.1904761904761904,0.1529271206690561,0.1588785046728972,0.2167689161554192,0.2038774233896185,0.0972222222222222,345.0,11.091775637607,11448.512760404774,1703.85890032623,71.1694575
MRG15,0.153323629306162,0.1052871467639015,0.2634256642170718,0.2124542124542124,0.1003584229390681,0.0903426791277258,0.1758691206543967,0.2263914946841776,0.0138888888888888,381.75,10.1658532493291,3100.799711903837,543.3030931580213,67.09880375
CG6236,0.0664725861232411,0.0460346399270738,0.1226681741096664,0.0476190476190476,0.058542413381123,0.0778816199376947,0.1288343558282208,0.1613508442776735,0.0277777777777777,277.25,10.5801202114416,2967.0857165984403,716.0154191058309,40.31316
Trax,0.1101407083939835,0.0587967183226982,0.1560203504804974,0.1245421245421245,0.08363201911589,0.0841121495327102,0.1002044989775051,0.1607254534083802,0.0277777777777777,409.75,11.54423925754215,2607.064978465144,966.3555196042234,107.05991875
CG5399,0.0,0.0009115770282588,0.001695873374788,0.0036630036630036,0.008363201911589,0.0,0.0040899795501022,0.0018761726078799,0.0,285.75,9.380857132513096,44.0809347463115,16.665351056068126,4.9470055
CG9590,0.2862688015526443,0.1467639015496809,0.4205765969474279,0.4102564102564102,0.2102747909199522,0.2242990654205607,0.4171779141104294,0.4108818011257035,0.1666666666666666,435.0,9.82372053458579,1562.9427595839668,204.61346253044096,48.10519325
Acyp2,0.3629306162057253,0.178669097538742,0.4923685698134539,0.4468864468864469,0.2915173237753883,0.1619937694704049,0.4662576687116564,0.4871794871794871,0.1527777777777778,218.25,10.9647477343584,1186.3499706847467,214.2724347232628,81.80269825
Hmt-1,0.0970402717127607,0.0496809480401093,0.1237987563595251,0.1538461538461538,0.054958183990442,0.1277258566978193,0.1063394683026584,0.1619762351469668,0.0972222222222222,235.75,10.52167008166685,2204.98560636879,568.0961998027373,20.47566175
glob1,0.0262008733624454,0.0186873290793072,0.6506500847936687,0.0256410256410256,0.028673835125448,0.1370716510903426,0.1042944785276073,0.182614133833646,0.0277777777777777,380.5,11.22957500444,224.32208469576835,124.16607175062936,4.691787
CG32856,0.1373119844735565,0.0911577028258887,0.2656868287167891,0.2087912087912088,0.1469534050179211,0.0934579439252336,0.2024539877300613,0.2388993120700437,0.0138888888888888,252.25,11.2282821582445,914.2839262048532,181.7381243710373,68.444586
CG14881,0.0553129548762736,0.0328167730173199,0.1147540983606557,0.0586080586080586,0.033452807646356,0.0311526479750778,0.1063394683026584,0.0787992495309568,0.0277777777777777,165.25,9.56670222444565,749.9426782649654,154.28593591898317,34.32617325
