,ASP_S1,PC_S1,SB_M1
SB,0.42470748140932285,0.22711579541155288,0.856422048389703
DT,0.4739403363330459,0.18492613263256147,0.581339072201433
DB,0.4006856523611643,0.2544639899167803,0.7753692545087952
ASP,0.425423905131378,0.18516346423010394,0.6803798540702852
TC,0.3365610983957488,0.20000491297095482,0.7428398454305178
LT,0.4196323970467907,0.10112951794888808,0.4690467032113058
VB,0.35086154269958186,0.20228001888642771,0.7518562348918819
PC,0.36720823639321326,0.25997752099410987,0.7242547757242725
GB,0.27301820812051397,0.14064143755467834,0.5924346499732321
