"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","diff.pct","gene"
"SelR",2.93068787381906e-07,0.457764726632924,0.527,0.371,0.00327269914869374,0.156,"SelR"
"Rab4",2.96118134579003e-07,-0.73085412620825,0.255,0.372,0.00330675120884373,-0.117,"Rab4"
"pen-2",2.96321228253923e-07,-0.704697227339105,0.25,0.376,0.00330901915591155,-0.126,"pen-2"
"alphaCOP",3.09484917616614e-07,0.460125538473392,0.522,0.371,0.00345601807502473,0.151,"alphaCOP"
"CG4866",3.10102793808891e-07,-1.03945820893608,0.115,0.229,0.00346291789846388,-0.114,"CG4866"
"Patronin",3.27543368425625e-07,0.692800605135946,0.289,0.173,0.00365767679520896,0.116,"Patronin"
"CG11786",3.32925220147557e-07,0.818127999262783,0.316,0.205,0.00371777593338777,0.111,"CG11786"
"CG14977",3.47057170133682e-07,-0.741876675207719,0.235,0.356,0.00387558741888282,-0.121,"CG14977"
"CG15387",3.51517253731366e-07,-0.750724256996468,0.238,0.356,0.00392539317241817,-0.118,"CG15387"
"PlexA",3.57292184908196e-07,-0.584402885183422,0.333,0.456,0.00398988182886983,-0.123,"PlexA"
"crim",3.59189132742763e-07,-0.697145085871484,0.272,0.389,0.00401106504533844,-0.117,"crim"
"strat",4.12437795719785e-07,-1.15341635952061,0.1,0.208,0.00460569286480284,-0.108,"strat"
"CG30291",4.48443253413194e-07,-0.766685133174128,0.181,0.31,0.00500776581086514,-0.129,"CG30291"
"PPP4R2r",4.48834317545975e-07,0.456867495858169,0.529,0.385,0.00501213282403591,0.144,"PPP4R2r"
"AGO2",4.63459619329298e-07,-0.696798420851543,0.275,0.388,0.00517545356905028,-0.113,"AGO2"
"Nc73EF",4.65470727224011e-07,0.466600003884797,0.5,0.355,0.00519791161091053,0.145,"Nc73EF"
"unc-5",4.91688215139907e-07,0.789954187855484,0.235,0.133,0.00549068229846734,0.102,"unc-5"
"Got2",5.23735935568524e-07,0.670559819097069,0.292,0.176,0.0058485591924937,0.116,"Got2"
"qkr58E-1",5.37146888377479e-07,0.832354604357871,0.243,0.143,0.00599831930251131,0.1,"qkr58E-1"
"CG6617",5.71855314949695e-07,-0.761821517544295,0.201,0.324,0.00638590830204325,-0.123,"CG6617"
"Vps4",5.88969688253851e-07,0.580215034660545,0.358,0.231,0.00657702450873076,0.127,"Vps4"
"CDK2AP1",5.89163740493016e-07,0.658207871942162,0.316,0.2,0.0065791914900855,0.116,"CDK2AP1"
"Ctl2",6.00341703280034e-07,0.587669862709453,0.35,0.227,0.00670401580052814,0.123,"Ctl2"
"MED19",6.07474993870679e-07,0.571365263290499,0.355,0.226,0.00678367325655387,0.129,"MED19"
"Spred",6.08563421320371e-07,0.560872137123677,0.392,0.262,0.00679582772588458,0.13,"Spred"
"Gmd",6.2108218056108e-07,0.762767743645384,0.235,0.133,0.00693562471032558,0.102,"Gmd"
"p38b",6.42072944808716e-07,-1.10458382405445,0.096,0.201,0.00717002857467894,-0.105,"p38b"
"fmt",6.63642811358523e-07,0.489808048924898,0.419,0.279,0.00741089927444063,0.14,"fmt"
"ALiX",7.09976403947999e-07,0.519130753284696,0.426,0.291,0.00792830650288731,0.135,"ALiX"
"ND-49",7.25148192573768e-07,-0.74936349318612,0.225,0.341,0.00809772986647126,-0.116,"ND-49"
"whd",7.55515391232221e-07,0.594736907610994,0.326,0.203,0.00843684037389021,0.123,"whd"
"CG15715",7.73499050521426e-07,-0.813536136471858,0.194,0.309,0.00863766389717276,-0.115,"CG15715"
"CG42394",7.79290253088039e-07,-1.1931708004557,0.11,0.213,0.00870233425623413,-0.103,"CG42394"
"Hem",7.96122778612262e-07,0.734990500385736,0.243,0.139,0.00889030306876313,0.104,"Hem"
"CG11665",8.89174901378299e-07,-0.847189998917977,0.181,0.296,0.00992941612369146,-0.115,"CG11665"
"CG9467",8.90051149743555e-07,0.637833042329007,0.314,0.198,0.00993920118918627,0.116,"CG9467"
"mRpL21",8.96461813798363e-07,-0.91155076014766,0.147,0.259,0.0100107890746863,-0.112,"mRpL21"
"Mtpalpha",8.993706651911e-07,0.404602609283801,0.591,0.468,0.010043272218189,0.123,"Mtpalpha"
"CG8675",9.32110775333673e-07,-1.13945723535505,0.098,0.2,0.0104088810281511,-0.102,"CG8675"
