"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","diff.pct","gene"
"Cyt-b5",8.98111209292211e-69,-0.74935658314791,0.792,0.942,1.00292078741661e-64,-0.15,"Cyt-b5"
"l(1)G0469",1.02332715652477e-68,3.22980069147016,0.319,0.036,1.14274943569122e-64,0.283,"l(1)G0469"
"CHES-1-like",4.54293613378837e-68,2.61335853813659,0.4,0.069,5.07309678060148e-64,0.331,"CHES-1-like"
"Pkc98E",9.66350277171654e-68,2.41682450790116,0.429,0.082,1.07912335451759e-63,0.347,"Pkc98E"
"Pdk1",1.57275377042474e-67,2.03615447771059,0.549,0.156,1.7562941354333e-63,0.393,"Pdk1"
"puc",2.3957112579376e-67,1.44347890682927,0.767,0.361,2.67529076173892e-63,0.406,"puc"
"Tim17b",1.6683158049231e-66,-1.07081355510791,0.551,0.886,1.86300825935763e-62,-0.335,"Tim17b"
"snRNA:7SK",8.91124034879828e-66,2.91649743441271,0.346,0.05,9.95118209750304e-62,0.296,"snRNA:7SK"
"Prosbeta1",1.27623257355202e-65,-0.771204966430609,0.757,0.952,1.42516891488554e-61,-0.195,"Prosbeta1"
"Ets21C",2.21195271420012e-65,3.68922855129017,0.267,0.023,2.47008759594727e-61,0.244,"Ets21C"
"Sec13",2.36046569763785e-65,-1.00698906602009,0.6,0.871,2.63593204455219e-61,-0.271,"Sec13"
"CG31777",2.95389874474154e-65,4.43455580999637,0.223,0.01,3.29861872825288e-61,0.213,"CG31777"
"fok",3.49494137166765e-65,1.78654368321897,0.603,0.193,3.90280102974126e-61,0.41,"fok"
"mt:ND3",7.93899067009758e-65,1.6052895279691,0.684,0.275,8.86547088129797e-61,0.409,"mt:ND3"
"miple2",7.99395794699359e-65,-1.11322090668754,0.537,0.881,8.92685283940774e-61,-0.344,"miple2"
"scyl",1.34823840663713e-64,0.945800406460658,0.931,0.676,1.50557782869169e-60,0.255,"scyl"
"CG11122",4.95954542595007e-64,2.19686626381942,0.468,0.11,5.53832437715845e-60,0.358,"CG11122"
"Prosbeta3",9.1800549918729e-64,-0.686131745904124,0.809,0.971,1.02513674094245e-59,-0.162,"Prosbeta3"
"l(3)L1231",3.9900764615783e-63,1.64073562153466,0.645,0.233,4.45571838464449e-59,0.412,"l(3)L1231"
"east",5.25889700107794e-63,1.53136255936275,0.686,0.27,5.87261028110373e-59,0.416,"east"
"HDAC4",7.40684926112877e-63,2.14893002489115,0.471,0.114,8.2712285699025e-59,0.357,"HDAC4"
"CG14257",1.22541474297808e-62,3.12244935790481,0.297,0.034,1.36842064348362e-58,0.263,"CG14257"
"mt:ND5",4.66950463518262e-62,1.26589982056522,0.794,0.426,5.21443582610844e-58,0.368,"mt:ND5"
"Spn55B",3.8283031066781e-61,2.10788592066573,0.475,0.121,4.27506607922743e-57,0.354,"Spn55B"
"upd3",3.86866070753094e-61,6.75358134011295,0.172,0.001,4.3201334120998e-57,0.171,"upd3"
"CG1890",8.9904923902003e-61,-0.828547457816331,0.711,0.901,1.00396828521367e-56,-0.19,"CG1890"
"CG42240",1.23582285385036e-60,3.26246822637367,0.292,0.036,1.3800433808947e-56,0.256,"CG42240"
"ATPsynbeta",1.46726822559152e-60,-0.588045067930389,0.873,0.982,1.63849842751805e-56,-0.109,"ATPsynbeta"
"mt:ND4",3.00418620248128e-60,1.24003758855549,0.789,0.457,3.35477473231085e-56,0.332,"mt:ND4"
"RhoGAP18B",1.35043480355255e-59,1.67419640033274,0.613,0.223,1.50803054512713e-55,0.39,"RhoGAP18B"
"stv",1.47023453129316e-59,1.15190336316782,0.821,0.465,1.64181090109507e-55,0.356,"stv"
"NAT1",4.50012520409649e-59,0.763661770969799,0.922,0.715,5.02528981541455e-55,0.207,"NAT1"
"be",1.24977333290863e-58,2.56096127315983,0.348,0.059,1.39562188085907e-54,0.289,"be"
"Uev1A",1.61903576390557e-58,-1.11118393955837,0.505,0.824,1.80797723755335e-54,-0.319,"Uev1A"
"FASN1",1.7451518657337e-58,2.48896616791033,0.377,0.074,1.94881108846483e-54,0.303,"FASN1"
"Cnx99A",3.81438861271515e-58,0.875787805114816,0.885,0.635,4.259527763819e-54,0.25,"Cnx99A"
"GEFmeso",2.39578675843676e-57,1.62018095509046,0.63,0.248,2.67537507314633e-53,0.382,"GEFmeso"
"Myc",2.44286199355676e-57,1.48444678368013,0.674,0.295,2.72794398820484e-53,0.379,"Myc"
"dl",7.30404495180842e-57,1.61276877736742,0.618,0.235,8.15642699768447e-53,0.383,"dl"
"spin",7.80462258108315e-57,1.73748682492922,0.566,0.191,8.71542203629555e-53,0.375,"spin"
"Roc1a",8.30432113650108e-57,-0.685920006650727,0.784,0.944,9.27343541313075e-53,-0.16,"Roc1a"
"CG10082",9.44993767705915e-57,2.26394482359676,0.4,0.086,1.0552745403972e-52,0.314,"CG10082"
"pwn",2.83858414536339e-56,1.63328975442909,0.598,0.216,3.1698469151273e-52,0.382,"pwn"
"Ent3",1.26845146120907e-55,5.45454893894778,0.169,0.004,1.41647974673217e-51,0.165,"Ent3"
"E(spl)mbeta-HLH",2.65689244579495e-55,1.79041893451145,0.63,0.303,2.96695179421922e-51,0.327,"E(spl)mbeta-HLH"
"mt:ND2",3.52184238852873e-55,1.91864028771585,0.49,0.141,3.93284139527003e-51,0.349,"mt:ND2"
"COX8",4.34403789124557e-55,0.70984054820802,0.909,0.764,4.85098711315393e-51,0.145,"COX8"
"regucalcin",6.07956875788622e-55,2.39120703589129,0.336,0.057,6.78905443193154e-51,0.279,"regucalcin"
"CCT2",1.5285433243792e-54,0.771554312054091,0.887,0.707,1.70692433033425e-50,0.18,"CCT2"
"e(y)3",1.8391154891978e-54,2.07126619115574,0.422,0.1,2.05374026678719e-50,0.322,"e(y)3"
"lncRNA:CR43651",7.33427802062505e-54,2.66348116518058,0.319,0.054,8.19018826563199e-50,0.265,"lncRNA:CR43651"
"SelT",8.24438503722286e-54,-0.974890911028601,0.566,0.841,9.20650477106676e-50,-0.275,"SelT"
"Mkp3",2.02809369028461e-53,0.894878909781805,0.88,0.603,2.26477222394083e-49,0.277,"Mkp3"
"RhoGDI",2.04487162803805e-53,-0.592063426293817,0.841,0.948,2.28350814703009e-49,-0.107,"RhoGDI"
"bun",4.41986568038429e-53,0.863310775417776,0.887,0.617,4.93566400528513e-49,0.27,"bun"
"Fbxl7",1.92760289669138e-52,2.08434138362736,0.419,0.106,2.15255415473527e-48,0.313,"Fbxl7"
"GstS1",2.77025166874604e-52,-0.701160779561064,0.757,0.909,3.0935400384887e-48,-0.152,"GstS1"
"CG42668",3.17979150578946e-52,1.8401634907254,0.502,0.161,3.55087317451509e-48,0.341,"CG42668"
"wb",4.03183632696836e-52,1.81650857650317,0.527,0.183,4.50235162632557e-48,0.344,"wb"
"Arf102F",7.67001952793435e-52,-0.95499828279931,0.578,0.822,8.56511080684428e-48,-0.244,"Arf102F"
"CG8180",9.82379369094727e-52,1.60199487934488,0.578,0.218,1.09702304146808e-47,0.36,"CG8180"
"CG34383",1.07972882588023e-51,2.32962641536033,0.338,0.063,1.20573317986045e-47,0.275,"CG34383"
"loco",4.4655928173787e-51,2.13572630453189,0.395,0.094,4.98672749916679e-47,0.301,"loco"
"wech",4.58114622936198e-51,2.61858325948034,0.301,0.05,5.11576599432853e-47,0.251,"wech"
"Pfdn5",4.7168786284369e-51,-0.649654310887186,0.784,0.936,5.26733836437549e-47,-0.152,"Pfdn5"
"CCT6",4.76783294017849e-51,1.06547504074567,0.794,0.459,5.32423904429732e-47,0.335,"CCT6"
"CG30423",4.82890678293374e-51,-0.70677373277608,0.743,0.93,5.39244020450211e-47,-0.187,"CG30423"
"CG31324",1.38532490814e-50,1.80521597293737,0.493,0.154,1.54699232491994e-46,0.339,"CG31324"
"Gadd45",1.42285685120456e-50,1.95445363752775,0.456,0.131,1.58890424574013e-46,0.325,"Gadd45"
"LamC",1.77043146977324e-50,1.85023814771523,0.473,0.142,1.97704082229578e-46,0.331,"LamC"
"chrb",1.86619665155917e-50,0.998947085808546,0.74,0.329,2.08398180079612e-46,0.411,"chrb"
"Moe",2.25015970794189e-50,0.655211284773542,0.929,0.795,2.51275334585871e-46,0.134,"Moe"
"spen",2.27167927591659e-50,0.595969859196046,0.946,0.821,2.53678424741605e-46,0.125,"spen"
"Hsp70Ab",2.81245637252258e-50,5.50786177346472,0.154,0.004,3.14067003119596e-46,0.15,"Hsp70Ab"
"Pvr",3.55977021246045e-50,1.66956412887339,0.547,0.198,3.97519539625459e-46,0.349,"Pvr"
"CG32767",4.23144224667236e-50,1.55095025563107,0.569,0.21,4.72525155685902e-46,0.359,"CG32767"
"Sema1a",5.20635768054349e-50,0.847005784637704,0.868,0.613,5.81393962186292e-46,0.255,"Sema1a"
"lft",9.79659952504608e-50,-0.877275414036558,0.627,0.812,1.0939862689619e-45,-0.185,"lft"
"Prosap",1.44005408052324e-49,1.62476151820693,0.551,0.199,1.6081083917203e-45,0.352,"Prosap"
"mt:ND1",2.54823924293926e-49,1.02242841637757,0.816,0.508,2.84561876259027e-45,0.308,"mt:ND1"
"Prosalpha4",2.59222830795905e-49,-0.720699728644875,0.716,0.909,2.89474135149787e-45,-0.193,"Prosalpha4"
"loj",5.34202553838926e-49,-0.958698789508267,0.566,0.807,5.96543991871929e-45,-0.241,"loj"
"Pits",5.7245670745395e-49,1.47753787673158,0.615,0.268,6.39262405213826e-45,0.347,"Pits"
"CG14073",5.98064184377877e-49,1.53063249101968,0.574,0.218,6.67858274694775e-45,0.356,"CG14073"
"Gprk2",8.45730715601318e-49,1.34122480115031,0.662,0.288,9.44427490111992e-45,0.374,"Gprk2"
"GstD10",3.01721042194883e-48,5.06808487099305,0.152,0.004,3.36931887819026e-44,0.148,"GstD10"
"CG32103",3.32713621286016e-48,1.12698154398944,0.755,0.431,3.71541300890094e-44,0.324,"CG32103"
"CG31176",3.93829904509919e-48,1.67778523090855,0.534,0.199,4.39789854366227e-44,0.335,"CG31176"
"ATPsyngamma",5.8620188049035e-48,-0.588336378591773,0.826,0.953,6.54611639943574e-44,-0.127,"ATPsyngamma"
"insc",9.09483895375471e-48,1.90273527344425,0.424,0.117,1.01562066596579e-43,0.307,"insc"
"CG12071",9.12627511752389e-48,5.65073479081715,0.145,0.003,1.01913114237389e-43,0.142,"CG12071"
"dmrt93B",2.16652701954578e-47,Inf,0.127,0,2.41936072272677e-43,0.127,"dmrt93B"
"ATPsynO",5.37111176543041e-47,-0.651589938536556,0.77,0.943,5.99792050845614e-43,-0.173,"ATPsynO"
"Fis1",7.89199246166129e-47,-0.903801704374141,0.583,0.823,8.81298798193717e-43,-0.24,"Fis1"
"CG40045",1.1302397861003e-46,-0.826000114522528,0.618,0.859,1.2621387691382e-42,-0.241,"CG40045"
"E(spl)malpha-BFM",1.17359770265673e-46,2.50762800515008,0.331,0.072,1.31055655455678e-42,0.259,"E(spl)malpha-BFM"
"CG31817",3.79443917334022e-46,4.60933428611545,0.154,0.006,4.23725022486902e-42,0.148,"CG31817"
"CG1677",3.94475770177291e-46,1.32582792528656,0.642,0.289,4.40511092556981e-42,0.353,"CG1677"
"Gug",8.73906335215141e-46,1.02325103311895,0.775,0.458,9.75891204534747e-42,0.317,"Gug"
"cindr",1.50841319427684e-45,0.650223419814553,0.897,0.772,1.68444501404895e-41,0.125,"cindr"
"mt:tRNA:Ser-GCT",2.31549954221918e-45,3.74189005689005,0.179,0.013,2.58571833879616e-41,0.166,"mt:tRNA:Ser-GCT"
"Srp9",2.36249384303548e-45,-1.00069056285747,0.517,0.758,2.63819687451772e-41,-0.241,"Srp9"
"SNF4Agamma",2.57598915976597e-45,1.87264407962489,0.422,0.123,2.87660709471066e-41,0.299,"SNF4Agamma"
"robl",3.64476580158826e-45,-0.706758801803958,0.708,0.887,4.07010997063362e-41,-0.179,"robl"
"Sirt1",3.82878262506039e-45,1.47707542360144,0.586,0.248,4.27560155740493e-41,0.338,"Sirt1"
"Hsc70Cb",4.43609371322596e-45,0.97494471334528,0.801,0.495,4.95378584955943e-41,0.306,"Hsc70Cb"
"CG13917",1.18538110304182e-44,1.33488728060211,0.625,0.278,1.3237150777668e-40,0.347,"CG13917"
"jigr1",2.17545519907689e-44,2.10402727117215,0.373,0.097,2.42933082080916e-40,0.276,"jigr1"
"lncRNA:CR43626",2.93868091350667e-44,2.0150059038323,0.417,0.131,3.2816249761129e-40,0.286,"lncRNA:CR43626"
"Imp",7.25938064560941e-44,0.665975843539171,0.873,0.733,8.10655036695203e-40,0.14,"Imp"
"RNASEK",3.2021546701792e-43,-0.502172160648939,0.877,0.979,3.57584612018912e-39,-0.102,"RNASEK"
"mthl5",4.46051001269743e-43,1.70763103767827,0.449,0.143,4.98105153117922e-39,0.306,"mthl5"
"ft",5.40772197475163e-43,1.50577440792211,0.522,0.191,6.03880312920515e-39,0.331,"ft"
"CanA-14F",7.15722672825019e-43,1.75983540567499,0.439,0.138,7.99247508743698e-39,0.301,"CanA-14F"
"Ostgamma",9.13204873943408e-43,-0.577458431266169,0.816,0.927,1.0197758827326e-38,-0.111,"Ostgamma"
"Ets98B",1.02028239544435e-42,2.31666215501175,0.304,0.064,1.13934935099271e-38,0.24,"Ets98B"
"Blimp-1",1.30093421672735e-42,0.806035404874229,0.833,0.622,1.45275323981943e-38,0.211,"Blimp-1"
"Cirl",1.46850885013838e-42,0.704077749518355,0.863,0.73,1.63988383294953e-38,0.133,"Cirl"
"Gli",2.36613290248304e-42,1.47670396276623,0.544,0.218,2.64226061220281e-38,0.326,"Gli"
"akirin",4.24406144541509e-42,-0.599241937364275,0.792,0.917,4.73934341609503e-38,-0.125,"akirin"
"Crtc",4.59158178316581e-42,1.210087498351,0.657,0.315,5.12741937726125e-38,0.342,"Crtc"
"Porin2",5.28160260518842e-42,Inf,0.113,0,5.89796562921391e-38,0.113,"Porin2"
"Cyp301a1",5.56500599282304e-42,1.89649074281944,0.412,0.129,6.21444219218549e-38,0.283,"Cyp301a1"
"mbf1",8.02499412344942e-42,-0.867507101375254,0.569,0.797,8.96151093765597e-38,-0.228,"mbf1"
"sgg",1.06060384817581e-41,1.21687526298386,0.664,0.319,1.18437631725793e-37,0.345,"sgg"
"eIF3j",1.17256037001032e-41,-1.22488724500185,0.39,0.677,1.30939816519053e-37,-0.287,"eIF3j"
"EcR",1.17399956234337e-41,1.46599680609823,0.495,0.173,1.31100531126884e-37,0.322,"EcR"
"Orct2",3.49021779364088e-41,2.04125481037797,0.333,0.081,3.89752621015877e-37,0.252,"Orct2"
"bmm",4.2588051369993e-41,3.59869468619479,0.167,0.013,4.75580769648712e-37,0.154,"bmm"
"Arp3",6.74700188867812e-41,-1.44309430919942,0.299,0.625,7.53437700908685e-37,-0.326,"Arp3"
"CG18812",1.64926538985986e-40,1.41010535763938,0.544,0.221,1.8417346608565e-36,0.323,"CG18812"
"CG17834",1.68220057366157e-40,1.81182383037366,0.4,0.12,1.87851338060788e-36,0.28,"CG17834"
"RhoGAP71E",3.22185296784001e-40,1.20286626514451,0.65,0.316,3.59784320918694e-36,0.334,"RhoGAP71E"
"zetaCOP",3.58037980413473e-40,-0.541018680665905,0.826,0.937,3.99821012727726e-36,-0.111,"zetaCOP"
"chn",4.38991043354777e-40,2.29451305153078,0.277,0.055,4.9022129811428e-36,0.222,"chn"
"GlcT",7.29285235070372e-40,3.07279803762877,0.196,0.024,8.14392822003084e-36,0.172,"GlcT"
"Su(Tpl)",9.71649678410747e-40,1.1266150098273,0.681,0.346,1.08504119588128e-35,0.335,"Su(Tpl)"
"CG12964",1.05801047540678e-39,1.51927462915596,0.488,0.18,1.18148029788675e-35,0.308,"CG12964"
"CG32369",1.34008067808264e-39,1.76163701926035,0.395,0.117,1.49646809321488e-35,0.278,"CG32369"
"Dmtn",1.36728657694075e-39,1.61902413467458,0.449,0.151,1.52684892046973e-35,0.298,"Dmtn"
"Sap47",2.21423381646198e-39,1.092414381964,0.696,0.365,2.47263490284309e-35,0.331,"Sap47"
"CG14830",2.27350327234264e-39,2.02484792996444,0.328,0.082,2.53882110422503e-35,0.246,"CG14830"
"mt:srRNA",3.00234593465597e-39,1.0101212705031,0.752,0.457,3.35271970523032e-35,0.295,"mt:srRNA"
"pes",3.6661842466175e-39,1.95313154105145,0.35,0.094,4.09402794819777e-35,0.256,"pes"
"cwo",4.41908369157617e-39,1.36487650443261,0.559,0.235,4.93479075838311e-35,0.324,"cwo"
"mgl",5.81801850735369e-39,0.71067462943118,0.846,0.655,6.49698126716186e-35,0.191,"mgl"
"CG11529",5.87951834398436e-39,7.86930332023266,0.108,0.001,6.56565813472734e-35,0.107,"CG11529"
"CG42674",6.97936850590145e-39,1.39611856326094,0.554,0.243,7.79386081054015e-35,0.311,"CG42674"
"mago",7.57924823275542e-39,-1.44450307020914,0.279,0.604,8.46374650151798e-35,-0.325,"mago"
"Eip75B",8.85787731624192e-39,0.666657896484859,0.882,0.697,9.89159159904735e-35,0.185,"Eip75B"
"eIF4E1",1.08198959443052e-38,-0.658670564292993,0.708,0.902,1.20825778010057e-34,-0.194,"eIF4E1"
"shn",1.82479573700778e-38,1.52097998274831,0.49,0.189,2.03774939951659e-34,0.301,"shn"
"GstE11",1.92356450075248e-38,-0.951732181051669,0.52,0.735,2.14804447799029e-34,-0.215,"GstE11"
"InR",2.617243739543e-38,0.764768662742251,0.841,0.602,2.92267608394766e-34,0.239,"InR"
"Pcf11",2.88326813341654e-38,1.46329256349205,0.505,0.199,3.21974552458625e-34,0.306,"Pcf11"
"Cht9",4.70266132325467e-38,7.57019936318472,0.105,0.001,5.25146189967849e-34,0.104,"Cht9"
"CG31954",7.0031317864032e-38,5.09141923772599,0.118,0.003,7.82039726587645e-34,0.115,"CG31954"
"CG32137",8.71984771129971e-38,1.68027992652765,0.417,0.138,9.73745393920838e-34,0.279,"CG32137"
"Ubqn",8.76264527530556e-38,1.47277146114037,0.493,0.191,9.78524597893372e-34,0.302,"Ubqn"
"CG4080",9.39235047127599e-38,1.83197079435952,0.346,0.093,1.04884377712739e-33,0.253,"CG4080"
"S6k",1.10014654764058e-37,1.51904609629201,0.463,0.166,1.22853364975024e-33,0.297,"S6k"
"arm",1.24792308131299e-37,0.933715245653073,0.748,0.457,1.39355570490221e-33,0.291,"arm"
"CG8034",1.45584506072708e-37,2.24838533220007,0.267,0.055,1.62574217931393e-33,0.212,"CG8034"
"Glut4EF",1.46643363113302e-37,1.19548562091109,0.642,0.328,1.63756643588625e-33,0.314,"Glut4EF"
"Ptp4E",1.78496800986366e-37,2.09135732347634,0.299,0.071,1.99327377661475e-33,0.228,"Ptp4E"
"Cyt-c1",2.04574532532873e-37,-0.87345265748641,0.534,0.76,2.28448380479459e-33,-0.226,"Cyt-c1"
"raw",4.78380265607538e-37,1.98557411110413,0.324,0.085,5.34207242603938e-33,0.239,"raw"
"eIF3i",8.95344069757543e-37,-0.634535654993872,0.713,0.889,9.99830722698249e-33,-0.176,"eIF3i"
"trbl",1.31365870726476e-36,2.30295204702675,0.262,0.055,1.46696267840255e-32,0.207,"trbl"
"sick",1.40818382261748e-36,0.999908765369823,0.721,0.424,1.57251887471695e-32,0.297,"sick"
"par-1",1.52693460372082e-36,0.796445936696076,0.804,0.568,1.70512787197503e-32,0.236,"par-1"
"ATPsynB",1.56583575544916e-36,-0.578028876853368,0.755,0.932,1.74856878811008e-32,-0.177,"ATPsynB"
"sd",1.71100725698828e-36,1.26738037045727,0.564,0.25,1.91068180387881e-32,0.314,"sd"
"Pak3",2.945342835853e-36,1.30651924242515,0.542,0.234,3.28906434479705e-32,0.308,"Pak3"
"Ncoa6",3.00920268176277e-36,1.33405022358696,0.542,0.235,3.36037663472449e-32,0.307,"Ncoa6"
"TBCB",3.27094175012318e-36,-1.34652061194616,0.304,0.609,3.65266065236256e-32,-0.305,"TBCB"
"Best1",4.43179869577241e-36,1.87871726959533,0.341,0.096,4.94898960356906e-32,0.245,"Best1"
"SMSr",5.52986947925012e-36,1.51953167654368,0.453,0.168,6.17520524747861e-32,0.285,"SMSr"
"alpha-Spec",5.86361809659738e-36,0.944409401192784,0.733,0.433,6.5479023284703e-32,0.3,"alpha-Spec"
"Tret1-1",7.89315419760261e-36,3.72105068949248,0.142,0.011,8.81428529246283e-32,0.131,"Tret1-1"
"GstE12",8.89566887097612e-36,-1.31853643920755,0.311,0.614,9.93379342821903e-32,-0.303,"GstE12"
"CG18081",9.33606755207039e-36,-1.26561695840877,0.314,0.63,1.0425586635397e-31,-0.316,"CG18081"
"CG7518",1.00982712840879e-35,1.62565814319855,0.4,0.13,1.1276739542941e-31,0.27,"CG7518"
"yellow-b",1.0896768869209e-35,2.05232154091703,0.294,0.072,1.21684217962457e-31,0.222,"yellow-b"
"ZAP3",1.10677719600284e-35,1.56169876888033,0.431,0.154,1.23593809477637e-31,0.277,"ZAP3"
"wge",1.58527849474733e-35,1.70495627560627,0.375,0.116,1.77028049508435e-31,0.259,"wge"
"yps",1.65684069585938e-35,-0.641974494355001,0.708,0.878,1.85019400506617e-31,-0.17,"yps"
"MYPT-75D",1.85736175739585e-35,2.50634017977076,0.223,0.039,2.07411587448395e-31,0.184,"MYPT-75D"
"CG30154",1.93213269580306e-35,-2.20362832158969,0.14,0.458,2.15761258140327e-31,-0.318,"CG30154"
"GluProRS",1.96331903832118e-35,1.33751055613542,0.522,0.22,2.19243837009326e-31,0.302,"GluProRS"
"Mnt",3.03292154102164e-35,1.00519695443023,0.699,0.391,3.38686348485886e-31,0.308,"Mnt"
"noc",3.09735862787461e-35,1.9224690802261,0.321,0.087,3.45882037974757e-31,0.234,"noc"
"Rab2",3.79663883586195e-35,-0.996885092236847,0.451,0.709,4.23970658800704e-31,-0.258,"Rab2"
"CG17124",9.25004567510975e-35,1.3427647331541,0.51,0.211,1.03295260053951e-30,0.299,"CG17124"
"CG30159",9.43342775678541e-35,-1.75735162678895,0.174,0.503,1.05343087760023e-30,-0.329,"CG30159"
"CrebB",1.43860566194505e-34,1.41836043014151,0.483,0.195,1.60649094269403e-30,0.288,"CrebB"
"SrpRbeta",2.27960300150895e-34,-0.807158864849892,0.571,0.75,2.54563267178504e-30,-0.179,"SrpRbeta"
"ck",2.37480948349965e-34,1.47879766377434,0.446,0.166,2.65194975022406e-30,0.28,"ck"
"tna",2.57149278481659e-34,0.993992350272416,0.686,0.391,2.87158599280468e-30,0.295,"tna"
"CG7069",2.92742568811392e-34,4.91444786454629,0.11,0.004,3.26905626591681e-30,0.106,"CG7069"
"SCAP",3.13740374756588e-34,1.55674203321955,0.409,0.141,3.50353876490681e-30,0.268,"SCAP"
"h",3.39363707585952e-34,1.81559979778984,0.331,0.093,3.78967452261232e-30,0.238,"h"
"Prosalpha2",3.56067568912892e-34,-0.687323183876963,0.65,0.857,3.97620654205027e-30,-0.207,"Prosalpha2"
"AGO1",3.56261598333828e-34,0.819763095864431,0.779,0.523,3.97837326859385e-30,0.256,"AGO1"
"CG17734",3.93673002445615e-34,-1.06350042745227,0.409,0.679,4.39614641831018e-30,-0.27,"CG17734"
"spri",4.29845925760836e-34,1.22320204460787,0.551,0.24,4.80008945297126e-30,0.311,"spri"
"IntS4",5.13419965607983e-34,2.84449402920043,0.176,0.023,5.73336075594434e-30,0.153,"IntS4"
"tral",7.41115644111054e-34,0.668909735502075,0.87,0.649,8.27603839778814e-30,0.221,"tral"
"lncRNA:CR43334",8.35295639705489e-34,1.29876515399079,0.593,0.331,9.32774640859119e-30,0.262,"lncRNA:CR43334"
"CanB2",9.05727539924329e-34,-1.04230639912556,0.434,0.667,1.0114259438335e-29,-0.233,"CanB2"
"B4",1.00800020977875e-33,1.92630017357309,0.301,0.079,1.12563383425993e-29,0.222,"B4"
"sqz",1.49373525039448e-33,3.41405339146348,0.142,0.013,1.66805415411552e-29,0.129,"sqz"
"CG9425",3.04927490118218e-33,1.34649931350249,0.488,0.199,3.40512528215014e-29,0.289,"CG9425"
"Pfdn6",3.15210163101116e-33,-0.785733366961726,0.566,0.767,3.51995189135016e-29,-0.201,"Pfdn6"
"Pld",3.47954701488034e-33,1.75464863952323,0.346,0.106,3.88561015151688e-29,0.24,"Pld"
"IP3K1",4.83372284736637e-33,1.67809162369608,0.36,0.114,5.39781830365403e-29,0.246,"IP3K1"
"His2Av",5.15427302207129e-33,-0.896124065162969,0.495,0.781,5.75577668374701e-29,-0.286,"His2Av"
"CG10383",5.26309555604098e-33,2.49896917341259,0.208,0.037,5.87729880743096e-29,0.171,"CG10383"
"Mob2",9.03835968747007e-33,0.795989176062311,0.799,0.542,1.00931362629978e-28,0.257,"Mob2"
"Hrs",1.20457585966136e-32,1.65605598999449,0.368,0.121,1.34514986248384e-28,0.247,"Hrs"
"Sesn",1.2358321401921e-32,2.46519435792264,0.191,0.03,1.38005375095252e-28,0.161,"Sesn"
"scrib",1.24885855933639e-32,1.30248924098272,0.502,0.215,1.39460035321095e-28,0.287,"scrib"
"CG12236",1.32314457495439e-32,2.7737473565989,0.196,0.033,1.47755554685156e-28,0.163,"CG12236"
"ADD1",1.3504535597581e-32,2.21382794127994,0.24,0.051,1.50805149018187e-28,0.189,"ADD1"
"CG5446",1.44224127711751e-32,-0.797257587599389,0.551,0.764,1.61055083415712e-28,-0.213,"CG5446"
"Rbp1-like",1.46296746137218e-32,0.912065179920999,0.716,0.437,1.63369576411431e-28,0.279,"Rbp1-like"
"Shroom",1.66512106265446e-32,1.75885379773509,0.331,0.098,1.85944069066623e-28,0.233,"Shroom"
"Spn42Da",2.99078813134956e-32,1.31548132659485,0.488,0.203,3.33981310627805e-28,0.285,"Spn42Da"
"ben",3.21625531247032e-32,0.507719914047272,0.917,0.803,3.59159230743561e-28,0.114,"ben"
"Lsd-2",3.24798623381702e-32,0.886019081650377,0.743,0.47,3.62702622730347e-28,0.273,"Lsd-2"
"Pp1-87B",4.05971527521749e-32,-0.706470993844425,0.613,0.844,4.53348404783537e-28,-0.231,"Pp1-87B"
"ph-p",4.48028095351501e-32,2.3536442237693,0.213,0.04,5.00312974079021e-28,0.173,"ph-p"
"CG32486",4.49732896982432e-32,1.15105170505496,0.574,0.278,5.02216726060282e-28,0.296,"CG32486"
"CG8177",5.62818135903085e-32,2.91017485991027,0.159,0.019,6.28499012362975e-28,0.14,"CG8177"
"Jra",5.76595840431079e-32,1.30157836995429,0.475,0.186,6.43884575009386e-28,0.289,"Jra"
"cnc",6.72445117631342e-32,0.916512494443471,0.703,0.421,7.5091946285892e-28,0.282,"cnc"
"roq",7.12714931532947e-32,1.87538969792211,0.304,0.086,7.95888764042841e-28,0.218,"roq"
"CG31121",7.59876131109686e-32,1.37149663228037,0.456,0.178,8.48553675610186e-28,0.278,"CG31121"
"Jheh3",7.99834262873328e-32,1.34577245802749,0.483,0.209,8.93174921350646e-28,0.274,"Jheh3"
"Smg5",8.01120306213222e-32,1.7827339923878,0.321,0.094,8.94611045948305e-28,0.227,"Smg5"
"fj",8.47338830861242e-32,2.00653493996072,0.248,0.055,9.46223272422749e-28,0.193,"fj"
"CG15561",8.8394176202115e-32,2.43855143141687,0.211,0.04,9.87097765649018e-28,0.171,"CG15561"
"E(spl)m2-BFM",1.33506861877716e-31,3.05461614392635,0.169,0.024,1.49087112658846e-27,0.145,"E(spl)m2-BFM"
"Prosbeta5",1.41771235623265e-31,-0.487218754289851,0.826,0.945,1.583159388205e-27,-0.119,"Prosbeta5"
"Lamp1",1.65839754727415e-31,-0.761981304481687,0.581,0.807,1.85193254104105e-27,-0.226,"Lamp1"
"mbl",1.67876953191601e-31,1.48890061129763,0.375,0.123,1.87468193629061e-27,0.252,"mbl"
"mnd",2.60484958978407e-31,1.51212014589919,0.424,0.163,2.90883553691188e-27,0.261,"mnd"
"futsch",2.6462478504283e-31,4.01048114595136,0.113,0.006,2.95506497457328e-27,0.107,"futsch"
