"","ASP","DB","DT","SB","PC","TC","VB","LT","GB"
"Atf3_extended",0.329034889274859,-0.866109438058669,-0.325402787421074,-1.376259490897,0.794184197111169,-0.119867899842644,0.68044725976661,-0.342828502983774,1.22680177305053
"Jra_extended",0.598405738217399,-0.461740298029454,-0.216671498125818,-0.54733349600567,0.665406488035047,0.21172595156075,0.34316789044799,-0.642796908420668,0.0498361323204199
"Jra",0.432739578526596,-0.469369015600199,-0.25157884124325,-0.427598476999853,0.791850936109788,0.26000467589297,0.29633214674261,-0.615179727679505,-0.01720127574916
"ken",0.0438656767585499,-0.0622456016908,0.132637540058952,-0.5829821001535,0.247820233905395,-0.00824094238310202,-0.00206941903564706,-0.204955407353854,0.436170019894001
"klu_extended",-1.52614294076994,-0.39694674875226,1.37654129741915,-0.356123581681861,0.106346760965403,-0.511531372898433,-0.417151528018422,-0.244811565456788,1.96981967919315
"svp_extended",-0.14969643078732,-0.0872336002623899,0.050335794678671,-0.088889053513935,-0.058284626720564,0.284368619656957,-0.062698313236242,-0.155855889256698,0.267953499441525
"crol_extended",0.289149391870616,-0.678721550679268,-0.56517694627619,-0.2054339840047,0.13768956407521,0.625148662855588,-0.174725193801136,-0.539922612078415,1.11199266803831
"l(3)neo38_extended",0.326925335913752,0.00556914305627698,0.53778693244042,-0.084080473880659,0.4535558899015,0.026444448340891,-0.0738253718338669,-0.814176941865237,-0.37819896207308
"l(3)neo38",-0.056935797508624,0.023592402545493,0.3286334222679,-0.113216901932755,0.479233313700749,-0.082067952811847,0.106947601468178,-0.625033634048976,-0.06115245368012
"nej",0.548933708626902,-0.427004571334548,0.0130907155136901,-0.239513757844338,1.06748294563203,-0.093978096686994,0.0400276019430799,-0.875743490408296,-0.0332950554415201
"E(bx)",0.18064985753142,-0.335087854148939,-0.718119660709274,-0.385675750674534,1.78942713636906,-0.414537706694039,-0.08520870757788,-0.886452992193969,0.85500567809816
"Tet",0.63836177893393,-0.614630427388462,-0.42340598601877,-0.430224290273089,1.50848077603816,0.247709410459135,-0.297992371450489,-0.842778360613554,0.21447947031313
"jim",2.00441781073238,-1.2515602002701,0.0939932692558301,0.31320098735849,0.639399639644495,0.74158876262603,-0.98781308384207,-1.56814279603449,0.0149156105294301
"Blimp-1_extended",1.20207798509439,-0.729090900643811,0.02292159710844,-0.194967753669386,1.02767228079022,0.031137481189699,-0.073507872170719,-1.30134473840967,0.0151019207108301
"Blimp-1",1.19276793273438,-0.665547012478335,0.0126898494207401,-0.161503731218913,0.988217833651765,0.050179233674875,-0.108111764556328,-1.34139192713518,0.0326995859070001
"foxo_extended",1.65711910473542,-0.468780151732027,-0.697882375619188,0.265571466054201,0.54044687419861,-0.0653406867803099,-0.338011603526017,-0.875597563326773,-0.0175250640039097
"foxo",1.78628814541783,-0.507339563180547,-0.965197950525296,0.191807727168794,0.626429554926598,-0.0548721490478642,-0.282804531695321,-0.686247249068499,-0.10806398399569
"FoxK_extended",1.29723277643161,-0.125856010491577,-0.08582809627393,-0.193877723000343,0.912907756924641,-0.243793615954284,-0.386572258064615,-1.16662103016755,-0.00759179940394006
"FoxK",1.26264407434026,-0.089266970333061,-0.151055617517326,-0.181340339670915,0.947482809825749,-0.312661041010938,-0.341212598117477,-1.22069501551691,0.0861046980006299
"Cf2",0.913241562940682,0.196780385644185,-0.874997050384655,-0.183088579939326,0.773344007778121,-0.717659470351432,-0.00864814818977599,-0.427476732789009,0.3285040252912
"grn",0.933824398717441,-0.201920716612593,0.293837772910354,0.18422281026984,0.00898145289490992,0.21284063348792,0.138782720471532,-0.350874342398594,-1.2196947297408
"sd_extended",0.834947186788304,-0.070222583629346,0.23675901762811,0.605326428070737,0.2910386810522,-0.617421036396727,-0.321370677573285,-0.387738391605053,-0.571318624334932
"sd",0.732984043019396,-0.046815059792652,0.19766329163194,0.720856564906892,0.274180788733385,-0.686793861193149,-0.307183613521871,-0.3506509730483,-0.534241180735636
"bi",-0.227597022339952,0.144631808549178,0.490060377541978,0.263130954382441,0.120880947883877,-0.99644385019784,-0.345438295343623,-0.092699602811684,0.643474682335629
"grh",-0.791303391603631,-0.217845441891346,0.84609373315842,-0.420743457872374,0.731109910693179,-0.152206183153729,-0.090350664606449,-0.444603196322394,0.539848691598324
