"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Spn100A",5.46200526748244e-115,0.876518874345618,0.989,0.535,6.09942128219764e-111,"ASP","Spn100A"
"trn",1.73838387759972e-111,0.729347143082024,0.824,0.26,1.94125327611561e-107,"ASP","trn"
"ect",9.49615923596672e-108,0.807236968481051,0.821,0.276,1.0604361018804e-103,"ASP","ect"
"grh",2.82984001070755e-104,0.724995793296824,0.905,0.454,3.16008233995712e-100,"ASP","grh"
"Unc-115a",3.63783912682934e-98,0.523453207547817,0.612,0.159,4.06237495293032e-94,"ASP","Unc-115a"
"glec",5.72357399795656e-96,0.711083188561693,0.883,0.467,6.39151508351809e-92,"ASP","glec"
"CG34355",1.03231926084966e-92,0.553307581883048,0.652,0.183,1.15279091859081e-88,"ASP","CG34355"
"Wdr62",3.66637883007232e-89,0.59396564904501,0.956,0.658,4.09424523954176e-85,"ASP","Wdr62"
"Nrg",4.97673235345517e-89,0.573480612191026,0.989,0.744,5.55751701910339e-85,"ASP","Nrg"
"RhoGEF64C",7.83892121400876e-88,0.651312533721169,0.791,0.312,8.75372331968358e-84,"ASP","RhoGEF64C"
"ich",5.42528852473755e-84,0.507054042859551,0.985,0.842,6.05841969557443e-80,"ASP","ich"
"hui",4.93336598520226e-76,0.510219129556197,0.996,0.833,5.50908979567536e-72,"ASP","hui"
"geko",5.97437824688348e-74,0.516696430550693,0.67,0.231,6.67158818829479e-70,"ASP","geko"
"CG31145",1.0999440209988e-73,0.516897504105541,0.7,0.251,1.22830748824936e-69,"ASP","CG31145"
"Eip78C",2.92843471594646e-70,0.605489819228737,0.813,0.389,3.27018304729741e-66,"ASP","Eip78C"
"E(spl)mbeta-HLH",9.06715689410671e-65,0.50534470021529,0.919,0.587,1.0125294103649e-60,"ASP","E(spl)mbeta-HLH"
"vib",8.2705386973581e-61,0.52669871960605,0.817,0.491,9.23571056333979e-57,"ASP","vib"
"obst-B",0,0.846848027240903,0.951,0.573,0,"DB","obst-B"
"exp",0,0.767371597413089,0.886,0.343,0,"DB","exp"
"Spn43Aa",0,0.760621119255597,0.954,0.787,0,"DB","Spn43Aa"
"dpy",8.24662219436561e-305,0.545866828815159,0.919,0.553,9.20900300444808e-301,"DB","dpy"
"Cht5",8.38397302089284e-299,0.507835316023808,0.916,0.574,9.36238267243103e-295,"DB","Cht5"
"CG11200",2.61592457344243e-260,0.537162261240114,0.509,0.159,2.92120297116316e-256,"DB","CG11200"
"CG12009",9.05241241083732e-260,0.596805826301973,0.898,0.533,1.0108828939182e-255,"DB","CG12009"
"vvl",4.71056255229664e-231,0.513308576769703,0.815,0.497,5.26028520214965e-227,"DB","vvl"
"ImpE2",0,0.919500917663784,0.731,0.316,0,"DT","ImpE2"
"hth",0,0.703108001158834,0.98,0.685,0,"DT","hth"
"ab",0,0.663829754381536,0.704,0.331,0,"DT","ab"
"lncRNA:CR43432",0,0.606094553217343,0.562,0.158,0,"DT","lncRNA:CR43432"
"mbl",0,0.565303241603343,0.618,0.225,0,"DT","mbl"
"Tom",0,0.550537508093482,0.538,0.129,0,"DT","Tom"
"Prosap",1.49042485320162e-287,0.520413425091997,0.679,0.359,1.66435743357025e-283,"DT","Prosap"
"Ubx",4.52586283323208e-244,0.609829796620668,0.452,0.156,5.05403102587027e-240,"DT","Ubx"
"robo2",9.67122017580135e-235,0.547454371806297,0.544,0.232,1.07998515703174e-230,"DT","robo2"
