,source,target,coef_mean,coef_abs,p,-logp
16583,fd19B,Dyrk2,0.00067844626,0.00067844626,0.24082319765698745,0.6183016813295745
16584,gsb,Dyrk2,0.005298758,0.005298758,7.134019591125768e-08,7.14666570235593
16585,fd96Cb,Dyrk2,-0.0079338625,0.0079338625,1.0326793328285798e-11,10.986034514494838
16586,sr,Dyrk2,0.0058473633,0.0058473633,0.0008404465187086207,3.0754899174044286
16587,sc,Dyrk2,-0.010611547,0.010611547,6.720284944707913e-05,4.17261231217077
16588,bab2,E(spl)m2-BFM,0.05972417,0.05972417,4.930378583519459e-09,8.307119731753026
16589,ac,E(spl)m2-BFM,0.021032995,0.021032995,6.786434982389751e-10,9.168358307320245
16590,klu,E(spl)m2-BFM,0.073645905,0.073645905,8.837287784336675e-13,12.053681002071778
16591,erm,E(spl)m2-BFM,0.0,0.0,,-0.0
16592,sna,E(spl)m2-BFM,0.0019621765,0.0019621765,2.0159588423878325e-07,6.695518338648295
16593,fd19B,E(spl)m2-BFM,0.0019968017,0.0019968017,1.0007457731518618e-12,11.999676235547813
16594,fd96Cb,E(spl)m2-BFM,0.0032928027,0.0032928027,0.000962390024740971,3.016648887146187
16595,E(spl)mdelta-HLH,E(spl)m3-HLH,-0.013555441,0.013555441,2.4419597808032175e-06,5.612261493183548
16596,odd,E(spl)m3-HLH,-0.015767783,0.015767783,2.3004084682359464e-08,7.638195042351754
16597,erm,E(spl)m3-HLH,0.0,0.0,,-0.0
16598,dve,E(spl)m3-HLH,0.0039073643,0.0039073643,0.10222388188709756,0.9904476310100591
16599,E(spl)mbeta-HLH,E(spl)m3-HLH,0.16193593,0.16193593,2.118242069214134e-21,20.67402441093453
16600,so,E(spl)m3-HLH,0.013894641,0.013894641,0.012191788781828349,1.913932569928443
16601,h,E(spl)m3-HLH,-0.0034365025,0.0034365025,0.5932158698282042,0.2267872391564227
16602,fd19B,E(spl)m3-HLH,0.007873597,0.007873597,9.220568951010854e-21,20.0352422801762
16603,ac,E(spl)m4-BFM,0.01328388,0.01328388,1.985197726560834e-06,5.702196230826442
16604,scrt,E(spl)m4-BFM,0.0027041496,0.0027041496,1.1801163052435328e-11,10.928075189103719
16605,Hey,E(spl)m4-BFM,0.0034261958,0.0034261958,0.00046623987757579764,3.3313905839461424
