"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Parp",824.109367487035,0.853107613998372,0.326838590339362,2.61018019051109,0.00904945421225188,0.0686747407928657
"Alg-2",1641.7487620016,-0.0498568556244617,0.326543564439881,-0.152680564107827,0.878650188638218,0.958956110634733
"Tim17b",5096.86669246853,0.256800938821737,0.2211581623742,1.16116419156725,0.245575133932732,0.55653864186557
"CG41128",1484.94745637896,0.593332684902238,0.359894401328144,1.64862993898382,0.0992234713221418,0.332967300998017
"CG41099",597.676998833331,-0.12937644373734,0.441259321773302,-0.293198211014355,0.769370651439156,0.917267110687377
"Gfat1",3569.10608482891,-0.0462130274260746,0.340351003632295,-0.135780494057252,0.891994811724194,0.962572094253372
"CG12581",315.510145677417,-0.27830346537571,0.482366240571029,-0.576954691203621,0.563970063430261,0.813970401933296
"beta-Man",631.307081982246,-0.55343910230544,0.60414055049118,-0.916076733891612,0.359626649776551,0.670351813255491
"aux",354.166184592065,0.394476627338111,0.666212448649159,0.592118367253522,0.553771328383866,0.809211459204651
"DhpD",243.445668439724,-0.979312160997893,0.584482135396491,-1.67552111808099,0.0938320311833235,0.323178070891041
"CG14641",943.842155558552,0.49307321321075,0.400232710063695,1.23196630563324,0.217961670913141,0.523427830953698
"abs",431.628029286459,0.12019738104311,0.343375286764159,0.350046685583593,0.726303661305855,0.897844013901048
"Gel",845.448598607187,-3.36461306558334,1.80079249442779,-1.8684068686395,0.0617053804082349,0.254773825977344
"CG14642",18.3948047560782,-0.569458310241262,2.27836795955608,-0.249941326576685,0.802632723251111,0.930104921135262
"CG1092",24.4755348292568,1.24959266917343,2.31683058982541,0.539354355325389,0.589642369841652,0.828195907008494
"Vps24",50.0401409408456,0.737004198532499,0.78850972129768,0.934679914053037,0.349953281251751,0.664119219408185
"Suv3",369.300373950111,-0.0459552599406659,0.535921594670062,-0.0857499686478543,0.931665179143355,0.976824621293866
"CG9795",210.042136782089,0.334519243283616,0.604025724462068,0.553816219634572,0.579704626813635,0.821137398397958
"CG9776",253.607335043673,-0.356773334742646,0.651233762795706,-0.547842196035784,0.583800262227283,0.823834308210226
"Skp2",373.952137653968,0.411063016756174,0.556823461122652,0.738228622636338,0.460375532350513,0.750195114591173
"CG1103",563.050888698209,0.999677981532166,0.536911627267026,1.86190413983154,0.0626166034249868,0.257297406399001
"Sfxn1-3",701.091518666901,-1.20911128243009,0.469517511576216,-2.5752208439915,0.0100176101330684,0.0746048333594306
"Cont",1046.64655131022,1.16083750793154,0.355605257805125,3.2643991686076,0.00109696500158279,0.0132102593807629
"tub",684.050109285012,-0.30915233864774,0.32059296555071,-0.96431416739504,0.334888440094252,0.65373912840458
"CG14646",626.265629263901,0.558550485595935,0.418940843419039,1.333244285846,0.182451650555876,0.472260522322983
"CG34112",41.8629813753315,-0.17024079487554,0.884664936606742,-0.192435336624194,0.847401214997779,0.949134078539728
"asRNA:CR46139",4.83553071446997,0.141389147329196,2.8514853594859,0.0495843848045172,0.960453590445515,0.986490925269957
"asRNA:CR45999",21.0024804704902,3.16760586313987,1.94611984811539,1.62765200005917,0.103598696360673,0.340911989186866
"CG9855",29.4997426726407,-0.666507880381922,0.980917190514916,-0.679474156255789,0.496837477227156,0.773617639919038
"CG9853",609.871329835314,0.13366992931074,0.387974437553053,0.344532825806241,0.730445613943056,0.899417441969042
